-----------------------------------------------------------------------------------------------------------
+--------+----------+----------+------------------------------------+------+----------+-----------+--------------+-------------+----------+---------------------------------------------------+
|accuracy|accuracy_x|accuracy_y|address                             |id    |lat       |lng        |speed         |time         |types     |uuid                                               |
|4.389   |null      |null      |null                                |969749|37.0518792|127.0475827|0.107883416   |1585727789080|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.697   |null      |null      |null                                |969750|37.0518796|127.0475849|0.13830161    |1585727791162|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.455   |null      |null      |null                                |969751|37.0518803|127.0475867|0.20289029    |1585727793094|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.881   |null      |null      |null                                |969752|37.0518814|127.0475928|0.027336305   |1585727795080|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|5.598   |null      |null      |null                                |969753|37.0518817|127.047595 |0.020923484   |1585727797834|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|5.384   |null      |null      |null                                |969754|37.0518821|127.047596 |0.15772301    |1585727799083|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.701   |null      |null      |null                                |969755|37.051882 |127.0475974|0.12638529    |1585727800804|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|5.536   |null      |null      |null                                |969756|37.0518823|127.0476117|0.30172458    |1585727803089|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|5.536   |null      |null      |null                                |969757|37.0518843|127.0475999|1.8347777     |1585727805104|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.552   |null      |null      |null                                |969758|37.0518871|127.0475175|4.0288267     |1585727807103|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.219   |null      |null      |null                                |969759|37.051888 |127.0473196|6.1368933     |1585727809109|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969760|37.051891 |127.0470979|7.8545685     |1585727811099|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969761|37.0518966|127.0468491|9.65367       |1585727813115|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969762|37.0518972|127.0465807|10.530912     |1585727815219|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.333   |null      |null      |null                                |969763|37.0518961|127.0463352|10.711529     |1585727817097|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.4     |null      |null      |null                                |969764|37.0518911|127.0460779|10.799666     |1585727819097|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|5.6     |null      |null      |null                                |969765|37.0518817|127.0458109|10.707407     |1585727821203|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|5.333   |null      |null      |null                                |969766|37.0518712|127.0455624|10.505469     |1585727823095|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|5.6     |null      |null      |null                                |969767|37.0518661|127.0453239|9.500833      |1585727825170|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969768|37.0518623|127.0451376|8.39625       |1585727827088|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969769|37.0518582|127.0449717|7.431017      |1585727829087|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.333   |null      |null      |null                                |969770|37.0518572|127.0448228|6.5123854     |1585727831087|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.0     |null      |null      |null                                |969771|37.0518636|127.0446884|5.8749113     |1585727833086|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.6     |null      |null      |null                                |969772|37.0518681|127.0445596|5.7982235     |1585727835142|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.333   |null      |null      |null                                |969773|37.05187  |127.0444218|6.809182      |1585727837085|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.333   |null      |null      |null                                |969774|37.051862 |127.0442243|7.8884325     |1585727839087|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.333   |null      |null      |null                                |969775|37.0518589|127.0440465|7.8716183     |1585727841107|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.0     |null      |null      |null                                |969776|37.0518496|127.0438729|7.5322075     |1585727843082|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|8.0     |null      |null      |null                                |969777|37.0518093|127.0437197|6.832828      |1585727845137|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.666   |null      |null      |null                                |969778|37.0517354|127.0436088|6.654808      |1585727847080|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.2     |null      |null      |null                                |969779|37.051625 |127.0435466|7.1135345     |1585727849123|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.8     |null      |null      |null                                |969780|37.0514784|127.0435389|8.941711      |1585727851084|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969781|37.0512826|127.0435476|11.171041     |1585727853082|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969782|37.0510463|127.0435543|12.750524     |1585727855084|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969783|37.0507949|127.0435622|13.195846     |1585727857086|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969784|37.0505508|127.0435613|12.937749     |1585727859081|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.333   |null      |null      |null                                |969785|37.0503027|127.0435685|14.29701      |1585727861075|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.2     |null      |null      |null                                |969786|37.0500419|127.0435666|14.062162     |1585727863077|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|8.0     |null      |null      |null                                |969787|37.0497853|127.0435501|14.174845     |1585727865081|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|8.0     |null      |null      |null                                |969788|37.0495255|127.0435462|14.661082     |1585727867076|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.666   |null      |null      |null                                |969789|37.0492643|127.0435593|14.029765     |1585727869072|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.8     |null      |null      |null                                |969790|37.0490161|127.0435734|13.697164     |1585727871078|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969791|37.0487736|127.0435804|13.446139     |1585727873077|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969792|37.0485345|127.0435866|13.220914     |1585727875071|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969793|37.0482958|127.0435914|13.169069     |1585727877075|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.0     |null      |null      |null                                |969794|37.0480603|127.0436023|13.105597     |1585727879074|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.4     |null      |null      |null                                |969795|37.0478261|127.043609 |13.117636     |1585727881072|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.333   |null      |null      |null                                |969796|37.0475795|127.0436198|13.948095     |1585727883071|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.333   |null      |null      |null                                |969797|37.0473111|127.0436115|14.848412     |1585727885068|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.666   |null      |null      |null                                |969798|37.0470329|127.043606 |15.310172     |1585727887068|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.6     |null      |null      |null                                |969799|37.0467478|127.0435992|15.550536     |1585727889089|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.333   |null      |null      |null                                |969800|37.0464644|127.0435956|15.449318     |1585727891070|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
